CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	10	2	83.33	12
2	11	0	100.00	11
3	7	1	87.50	8
4	5	2	71.43	7
5	5	0	100.00	5
6	5	0	100.00	5
7	15	3	83.33	18
8	7	2	77.78	9
9	12	1	92.31	13
10	5	2	71.43	7
11	10	0	100.00	10
12	14	0	100.00	14
13	6	0	100.00	6
14	7	1	87.50	8
15	9	2	81.82	11
16	11	2	84.62	13
17	3	1	75.00	4
18	15	1	93.75	16
19	8	2	80.00	10
20	7	0	100.00	7
21	5	6	45.45	11
22	10	3	76.92	13
23	11	0	100.00	11
24	13	1	92.86	14
25	9	0	100.00	9
26	9	1	90.00	10
27	7	0	100.00	7
28	11	2	84.62	13
29	7	1	87.50	8
30	5	0	100.00	5
31	4	0	100.00	4

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2	11	15.38	13
2	1	13	7.14	14
3	0	17	0.00	17
4	0	12	0.00	12
5	0	14	0.00	14
6	0	8	0.00	8
7	0	5	0.00	5
8	1	13	7.14	14
9	0	7	0.00	7
10	0	17	0.00	17
11	0	9	0.00	9
12	1	6	14.29	7
13	1	9	10.00	10
14	2	17	10.53	19
15	0	10	0.00	10
16	0	17	0.00	17
17	0	13	0.00	13
18	0	11	0.00	11
19	0	11	0.00	11
20	0	13	0.00	13
21	1	10	9.09	11
22	0	14	0.00	14
23	1	12	7.69	13
24	1	16	5.88	17
25	0	15	0.00	15
26	0	12	0.00	12
27	0	12	0.00	12
28	1	13	7.14	14
29	0	14	0.00	14
30	0	9	0.00	9
31	0	6	0.00	6

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2	33	5.71	35
2	2	46	4.17	48
3	3	33	8.33	36
4	2	40	4.76	42
5	5	38	11.63	43
6	2	49	3.92	51
7	2	43	4.44	45
8	3	36	7.69	39
9	2	38	5.00	40
10	3	39	7.14	42
11	4	40	9.09	44
12	2	33	5.71	35
13	6	26	18.75	32
14	3	36	7.69	39
15	5	44	10.20	49
16	3	30	9.09	33
17	2	29	6.45	31
18	2	31	6.06	33
19	4	47	7.84	51
20	5	32	13.51	37
21	3	36	7.69	39
22	2	46	4.17	48
23	3	36	7.69	39
24	1	43	2.27	44
25	4	38	9.52	42
26	2	30	6.25	32
27	2	43	4.44	45
28	3	32	8.57	35
29	5	35	12.50	40
30	4	33	10.81	37
31	0	15	0.00	15

